case_id,from_resource_id,to_resource_id,from_role,to_role,start_time,end_time,task_type
case0,r02,r02,assigner,assigner,2017-03-10 17:23:00,2017-04-08 05:17:00,task_execution
case0,r02,r011,assigner,assignee,2017-04-08 05:17:00,2017-05-21 19:53:00,transfer_of_task
case0,r011,r011,assignee,assignee,2017-05-21 19:53:00,2017-06-08 00:16:00,task_execution
case0,r011,r021,assignee,approver,2017-06-08 00:16:00,2017-06-11 15:49:00,transfer_of_task
case0,r021,r021,approver,approver,2017-06-11 15:49:00,2017-06-18 00:32:00,task_execution
case1,r022,r022,assigner,assigner,2017-03-14 15:08:00,2017-03-16 18:34:00,task_execution
case1,r022,r0212,assigner,assignee,2017-03-16 18:34:00,2017-04-15 02:33:00,transfer_of_task
case1,r0212,r0212,assignee,assignee,2017-04-15 02:33:00,2017-05-06 16:16:00,task_execution
case1,r0212,r0211,assignee,approver,2017-05-06 16:16:00,2017-05-26 12:17:00,transfer_of_task
case1,r0211,r0211,approver,approver,2017-05-26 12:17:00,2017-06-26 17:04:00,task_execution
case10,r02,r02,assigner,assigner,2017-03-10 10:31:00,2017-04-29 19:11:00,task_execution
case10,r02,r011,assigner,assignee,2017-04-29 19:11:00,2017-05-02 20:26:00,transfer_of_task
case10,r011,r011,assignee,assignee,2017-05-02 20:26:00,2017-05-18 21:38:00,task_execution
case10,r011,r0212,assignee,approver,2017-05-18 21:38:00,2017-05-18 23:14:00,transfer_of_task
case10,r0212,r0212,approver,approver,2017-05-18 23:14:00,2017-06-05 12:15:00,task_execution
case100,r01,r01,assigner,assigner,2017-03-22 03:26:00,2017-03-29 18:37:00,task_execution
case100,r01,r012,assigner,assignee,2017-03-29 18:37:00,2017-05-07 07:58:00,transfer_of_task
case100,r012,r012,assignee,assignee,2017-05-07 07:58:00,2017-05-08 10:32:00,task_execution
case100,r012,r0211,assignee,approver,2017-05-08 10:32:00,2017-06-11 00:53:00,transfer_of_task
case100,r0211,r0211,approver,approver,2017-06-11 00:53:00,2017-06-24 19:30:00,task_execution
case101,r0,r0,assigner,assigner,2017-03-02 05:24:00,2017-03-07 15:28:00,task_execution
case101,r0,r02,assigner,assignee,2017-03-07 15:28:00,2017-03-17 10:46:00,transfer_of_task
case101,r02,r02,assignee,assignee,2017-03-17 10:46:00,2017-03-20 22:26:00,task_execution
case101,r02,r022,assignee,approver,2017-03-20 22:26:00,2017-04-01 20:27:00,transfer_of_task
case101,r022,r022,approver,approver,2017-04-01 20:27:00,2017-04-10 17:23:00,task_execution
case102,r011,r011,assigner,assigner,2017-03-02 19:54:00,2017-04-02 05:28:00,task_execution
case102,r011,r022,assigner,assignee,2017-04-02 05:28:00,2017-04-22 13:44:00,transfer_of_task
case102,r022,r022,assignee,assignee,2017-04-22 13:44:00,2017-05-18 20:32:00,task_execution
case102,r022,r0212,assignee,approver,2017-05-18 20:32:00,2017-05-19 10:27:00,transfer_of_task
case102,r0212,r0212,approver,approver,2017-05-19 10:27:00,2017-06-06 16:26:00,task_execution
case103,r0,r0,assigner,assigner,2017-03-12 13:21:00,2017-03-14 23:01:00,task_execution
case103,r0,r02,assigner,assignee,2017-03-14 23:01:00,2017-03-30 03:10:00,transfer_of_task
case103,r02,r02,assignee,assignee,2017-03-30 03:10:00,2017-05-01 23:07:00,task_execution
case103,r02,r012,assignee,approver,2017-05-01 23:07:00,2017-05-07 23:51:00,transfer_of_task
case103,r012,r012,approver,approver,2017-05-07 23:51:00,2017-06-22 03:22:00,task_execution
case104,r02,r02,assigner,assigner,2017-03-18 18:34:00,2017-05-25 18:46:00,task_execution
